Especies,Conteo,Localidad,Tipo de Observacion,Fecha de la Observacion,HORA DE INICIO,DURACION,DISTANCIA RECORRIDA (Km),AREA CUBIERTA,ELEVACION:,Numero de Personas que Salieron a Observar Aves,Lista completa,# de especies,Detalles,Detalles,Coordenadas
Eastern Wood-Pewee (Contopus virens),3,Humedal Tingua Bogotana,Con Desplazamiento,2023-11-04,9:08:00 a. m.,"2 hora(s), 43 minuto(s)",1.23 ,,,2,TRUE,24 especies (+1 otros taxones),,,"(4.981, -74.002)"
Empidonax sp. (Empidonax sp.),2,Humedal Tingua Bogotana,Con Desplazamiento,2023-11-04,9:08:00 a. m.,"2 hora(s), 43 minuto(s)",1.23 ,,,2,TRUE,24 especies (+1 otros taxones),,,"(4.981, -74.002)"
Tropical Kingbird (Tyrannus melancholicus),3,Humedal Tingua Bogotana,Con Desplazamiento,2023-11-04,9:08:00 a. m.,"2 hora(s), 43 minuto(s)",1.23 ,,,2,TRUE,24 especies (+1 otros taxones),,,"(4.981, -74.002)"
Brown-bellied Swallow (Orochelidon murina),3,Humedal Tingua Bogotana,Con Desplazamiento,2023-11-04,9:08:00 a. m.,"2 hora(s), 43 minuto(s)",1.23 ,,,2,TRUE,24 especies (+1 otros taxones),,,"(4.981, -74.002)"
House Wren (Troglodytes aedon),2,Humedal Tingua Bogotana,Con Desplazamiento,2023-11-04,9:08:00 a. m.,"2 hora(s), 43 minuto(s)",1.23 ,,,2,TRUE,24 especies (+1 otros taxones),,,"(4.981, -74.002)"
Tropical Mockingbird (Mimus gilvus),2,Humedal Tingua Bogotana,Con Desplazamiento,2023-11-04,9:08:00 a. m.,"2 hora(s), 43 minuto(s)",1.23 ,,,2,TRUE,24 especies (+1 otros taxones),,,"(4.981, -74.002)"
Swainson's Thrush (Catharus ustulatus),4,Humedal Tingua Bogotana,Con Desplazamiento,2023-11-04,9:08:00 a. m.,"2 hora(s), 43 minuto(s)",1.23 ,,,2,TRUE,24 especies (+1 otros taxones),,,"(4.981, -74.002)"
Great Thrush (Turdus fuscater),4,Humedal Tingua Bogotana,Con Desplazamiento,2023-11-04,9:08:00 a. m.,"2 hora(s), 43 minuto(s)",1.23 ,,,2,TRUE,24 especies (+1 otros taxones),,,"(4.981, -74.002)"
Lesser Goldfinch (Spinus psaltria),2,Humedal Tingua Bogotana,Con Desplazamiento,2023-11-04,9:08:00 a. m.,"2 hora(s), 43 minuto(s)",1.23 ,,,2,TRUE,24 especies (+1 otros taxones),,,"(4.981, -74.002)"
Andean Siskin (Spinus spinescens),2,Humedal Tingua Bogotana,Con Desplazamiento,2023-11-04,9:08:00 a. m.,"2 hora(s), 43 minuto(s)",1.23 ,,,2,TRUE,24 especies (+1 otros taxones),,,"(4.981, -74.002)"
Rufous-collared Sparrow (Zonotrichia capensis),5,Humedal Tingua Bogotana,Con Desplazamiento,2023-11-04,9:08:00 a. m.,"2 hora(s), 43 minuto(s)",1.23 ,,,2,TRUE,24 especies (+1 otros taxones),,,"(4.981, -74.002)"
Eastern Meadowlark (Sturnella magna),4,Humedal Tingua Bogotana,Con Desplazamiento,2023-11-04,9:08:00 a. m.,"2 hora(s), 43 minuto(s)",1.23 ,,,2,TRUE,24 especies (+1 otros taxones),,,"(4.981, -74.002)"
Northern Waterthrush (Parkesia noveboracensis),2,Humedal Tingua Bogotana,Con Desplazamiento,2023-11-04,9:08:00 a. m.,"2 hora(s), 43 minuto(s)",1.23 ,,,2,TRUE,24 especies (+1 otros taxones),,,"(4.981, -74.002)"
